,dt_iso,pressure,humidity,wind_speed,wind_deg,node_id,P1,P2
594,2018-01-22 11:00:00 +0000 UTC,1013,93,4,230,574,8.883333333333335,6.3742857142857146
595,2018-01-22 12:00:00 +0000 UTC,1012,93,3,190,574,8.865238095238096,6.506666666666666
596,2018-01-22 13:00:00 +0000 UTC,1011,93,3,170,574,9.003809523809522,6.794761904761906
597,2018-01-22 14:00:00 +0000 UTC,1010,93,3,190,574,9.44666666666667,7.542380952380953
598,2018-01-22 15:00:00 +0000 UTC,1010,87,7,230,574,9.585238095238095,7.368571428571429
599,2018-01-22 15:00:00 +0000 UTC,1010,87,7,230,574,8.756666666666668,6.936190476190476
600,2018-01-22 16:00:00 +0000 UTC,1011,81,6,280,574,9.823333333333332,7.752857142857142
601,2018-01-22 17:00:00 +0000 UTC,1012,81,6,230,574,7.595714285714285,6.160000000000001
602,2018-01-22 18:00:00 +0000 UTC,1012,81,6,230,574,8.996190476190472,7.060476190476191
603,2018-01-22 19:00:00 +0000 UTC,1013,87,4,250,574,9.807619047619047,8.020476190476192
604,2018-01-22 20:00:00 +0000 UTC,1015,81,7,290,574,9.901428571428571,8.164285714285715
605,2018-01-22 21:00:00 +0000 UTC,1017,87,0,360,574,9.62190476190476,7.615238095238096
606,2018-01-22 22:00:00 +0000 UTC,1018,93,1,0,574,9.564761904761903,7.410952380952381
607,2018-01-22 23:00:00 +0000 UTC,1019,93,1,0,574,9.447142857142856,7.5423809523809515
608,2018-01-22 23:00:00 +0000 UTC,1019,93,1,0,574,10.64238095238095,8.342857142857143
609,2018-01-23 00:00:00 +0000 UTC,1021,87,2,250,574,13.402857142857142,10.245714285714286
610,2018-01-23 00:00:00 +0000 UTC,1021,87,2,250,574,15.422380952380953,11.91190476190476
611,2018-01-23 01:00:00 +0000 UTC,1022,93,2,250,574,12.431428571428574,9.00904761904762
612,2018-01-23 01:00:00 +0000 UTC,1022,93,2,250,574,12.080952380952379,9.53095238095238
613,2018-01-23 02:00:00 +0000 UTC,1022,87,4,270,574,11.943809523809525,9.556190476190478
614,2018-01-23 02:00:00 +0000 UTC,1022,87,4,270,574,9.244761904761903,7.654285714285713
615,2018-01-23 03:00:00 +0000 UTC,1023,81,3,320,574,5.582857142857142,4.749523809523811
